Course_Code,Section,Course_Name_EN,Original_Course_Name,Teaching_in_English,Program_Year,Course_Type,Instructor_EN,Original_Index
EEA204,A,Engineering MathematicsII,Engineering MathematicsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,"WANG,SYU-SIANG",939
EEA204,B,Engineering MathematicsII,Engineering MathematicsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,"WANG,SYU-SIANG",940
EEA206,A,ElectronicsII 智慧型控制學程 積體電路設計學程,ElectronicsII *智慧型控制學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,941
EEA206,B,ElectronicsII 智慧型控制學程 積體電路設計學程,ElectronicsII *智慧型控制學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,942
EEA227,A,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,ElectromagneticsI *全校性跨領域--綠色能源學程 *智慧電網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Keng-Yuan Chen,943
EEA227,B,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,ElectromagneticsI *全校性跨領域--綠色能源學程 *智慧電網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Keng-Yuan Chen,944
EEA232,A,Electronic Circuits ExperimentsII,Electronic Circuits ExperimentsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,"KUO,YUE-FANG",945
EEA232,B,Electronic Circuits ExperimentsII,Electronic Circuits ExperimentsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,"KUO,YUE-FANG",946
EEA243,A,Advance in Electric Circuits 智慧電網學程,Advance in Electric Circuits *智慧電網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,947
EEA243,B,Advance in Electric Circuits 智慧電網學程,Advance in Electric Circuits *智慧電網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,948
EEA305,A,Signals and Systems 智慧生醫學程,Signals and Systems *智慧生醫學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Cheng-Hung Lin,949
EEA305,B,Signals and Systems 智慧生醫學程,Signals and Systems *智慧生醫學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Cheng-Hung Lin,950
EEA478,A,Electrical Topics,Electrical Topics,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",,Wen-Hsing Kuo,951
EEB102,A,CalculusII,CalculusII,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Nan-Wei Chen,952
EEB102,B,CalculusII,CalculusII,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Shih-Kai Lee,953
EEB111,A,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,Digital Logic Design *智慧型控制學程 *數位科技應用學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Yao-Chiang Kan,954
EEB111,B,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,Digital Logic Design *智慧型控制學程 *數位科技應用學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Yao-Chiang Kan,955
EEB113,A,Data Structures 物聯網學程 智慧生醫學程 數位科技應用學程,Data Structures *物聯網學程 *智慧生醫學程 *數位科技應用學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Elective Courses,,956
EEB118,A,Logic Circuit Lab. Teaching in English,Logic Circuit Lab. *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,ISACK FARADY,957
EEB118,B,Logic Circuit Lab. Teaching in English,Logic Circuit Lab. *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,ISACK FARADY,958
EEB124,A,General Physics Lab.,General Physics Lab.,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,959
EEB124,B,General Physics Lab.,General Physics Lab.,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,960
EEB127,A,Programming Language Labs II,Programming Language Labs II,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chien-Cheng Lee,961
EEB127,B,Programming Language Labs II,Programming Language Labs II,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chien-Cheng Lee,962
EEB131,A,Introduction to Artificial Intelligence and Information Technology Teaching in English,Introduction to Artificial Intelligence and Information Technology *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Elective Courses,ISACK FARADY,963
EEB202,A,ElectronicsII 智慧型控制學程 積體電路設計學程,ElectronicsII *智慧型控制學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,"YANG,CHENG,JEN",964
EEB202,B,ElectronicsII 智慧型控制學程 積體電路設計學程,ElectronicsII *智慧型控制學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,Chien-Chang Huang,965
EEB204,A,Engineering MathematicsII,Engineering MathematicsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,Chia-Chi Huang,966
EEB206,A,Electronic Circuits ExperimentsII,Electronic Circuits ExperimentsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,"YANG,CHENG,JEN",967
EEB206,B,Electronic Circuits ExperimentsII,Electronic Circuits ExperimentsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,Chien-Chang Huang,968
EEB209,A,Micro-Computer Systems 物聯網學程 智慧型控制學程 數位科技應用學程,Micro-Computer Systems *物聯網學程 *智慧型控制學程 *數位科技應用學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,"SHIH,CHIH-WEN",969
EEB210,A,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,ElectromagneticsI *全校性跨領域--綠色能源學程 *智慧電網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,,970
EEB211,A,Signals and Systems 智慧生醫學程,Signals and Systems *智慧生醫學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Ying Li,971
EEB211,B,Signals and Systems 智慧生醫學程,Signals and Systems *智慧生醫學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Ying Li,972
EEB215,A,Introduction to Computer Vision and Image Processing,Introduction to Computer Vision and Image Processing,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,"Po-Chiang,Lin",973
EEB216,A,Game Programming,Game Programming,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,,974
EEB221,A,Electrical Topics,Electrical Topics,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",,,975
EEB222,A,Introduction to Cloud Computing Teaching in English,Introduction to Cloud Computing *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,ISACK FARADY,976
EEB312,A,Communications Network 物聯網學程,Communications Network *物聯網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,Wei-Tyng Hong,977
EEB312,B,Communications Network 物聯網學程,Communications Network *物聯網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,Wei-Tyng Hong,978
EEC102,A,General PhysicsII Teaching in English,General PhysicsII *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Nien-Po Chen,979
EEC103,A,General Physics Lab.I,General Physics Lab.I,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Nien-Po Chen,980
EEC106,A,CalculusII Teaching in English,CalculusII *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chih-Hao Chang,981
EEC110,A,Linear Algebra 數位科技應用學程,Linear Algebra *數位科技應用學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Elective Courses,,982
EEC114,A,Programming Language Lab II,Programming Language Lab II,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Nien-Po Chen,983
EEC117,A,Quantum Computers and Quantum,Quantum Computers and Quantum,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Elective Courses,Nen-Wen Pu,984
EEC414,A,Colorimetry 數位科技應用學程,Colorimetry *數位科技應用學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Elective Courses,,985
EEC203,A,Engineering MathematicsII,Engineering MathematicsII,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chih-Hao Chang,986
EEC205,A,ElectronicsII 智慧型控制學程 積體電路設計學程,ElectronicsII *智慧型控制學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,987
EEC207,A,Electronic Circuits Lab.II Teaching in English,Electronic Circuits Lab.II *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,988
EEC214,A,Semiconductor Optics,Semiconductor Optics,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Fang-I Lai,989
EEC215,A,Semiconductor Optics Laboratory,Semiconductor Optics Laboratory,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Fang-I Lai,990
EEC215,B,Semiconductor Optics Laboratory,Semiconductor Optics Laboratory,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Fang-I Lai,991
EEC216,A,Electrical Topics,Electrical Topics,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",,,992
EEC308,A,ElectromagneticsII 智慧電網學程,ElectromagneticsII *智慧電網學程,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",,Nen-Wen Pu,993
EEC323,A,Photonics Applications of Embedded Systems,Photonics Applications of Embedded Systems,False,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",Department Elective Courses,Nien-Po Chen,994
