Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS378,A,超大型積體電路設計導論,Introduction to VLSI Design *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,,曾王道,Wang-Dauh Tseng,"502 ,1501B 503 ,1501B 504 ,1501B"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS383,A,醫學影像概論（一）,Introduction to Medical ImagingI,Department Elective Courses,王惠琳,,"206 ,1102 207 ,1102"
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS352,A,資料庫系統概論,Introduction to Database System *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程,,胡淑琼,"HU,SHU-CHIUNG","406 ,1401B 407 ,1401B 408 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS354,A,電腦與網路安全概論,Introduction to Computer and Network Security,,歐崇明,,"402 ,60105 403 ,60105 404 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS412,A,資料探勘,Data Mining *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *智慧校園與智慧照護學程,,許博凱,"BO-KAI, HSU","207 ,1201A 208 ,1201A 209 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS416,A,專題製作（一）,Special ProjectI,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS417,A,專題製作（二）,Special ProjectII,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS417,B,專題製作（二）,Special ProjectII,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS417,C,專題製作（二）,Special ProjectII,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS423,A,網路實習（一）,Network LabI,Department Elective Courses,葉生正,,"307 ,1301B 308 ,1301B 309 ,1301B"
